
Pin Number	Padstack	X Coord	Y Coord	Rotation	Pin Use	Net Name

A1	BGA_750_600SM	-12065.00	12065.00	0.000	BI	SIG_228
A2	BGA_750_600SM	-10795.00	12065.00	0.000	BI	SIG_227
A3	BGA_750_600SM	-9525.00	12065.00	0.000	POWER	SIG_225
A4	BGA_750_600SM	-8255.00	12065.00	0.000	BI	SIG_223
A5	BGA_750_600SM	-6985.00	12065.00	0.000	BI	SIG_219
A6	BGA_750_600SM	-5715.00	12065.00	0.000	GROUND	SIG_216
A7	BGA_750_600SM	-4445.00	12065.00	0.000	BI	SIG_213
A8	BGA_750_600SM	-3175.00	12065.00	0.000	BI	SIG_210
A9	BGA_750_600SM	-1905.00	12065.00	0.000	POWER	SIG_207
A10	BGA_750_600SM	-635.00	12065.00	0.000	BI	SIG_204
A11	BGA_750_600SM	635.00	12065.00	0.000	BI	SIG_203
A12	BGA_750_600SM	1905.00	12065.00	0.000	GROUND	SIG_201
A13	BGA_750_600SM	3175.00	12065.00	0.000	BI	SIG_200
A14	BGA_750_600SM	4445.00	12065.00	0.000	BI	SIG_196
A15	BGA_750_600SM	5715.00	12065.00	0.000	POWER	SIG_194
A16	BGA_750_600SM	6985.00	12065.00	0.000	BI	SIG_191
A17	BGA_750_600SM	8255.00	12065.00	0.000	BI	SIG_187
A18	BGA_750_600SM	9525.00	12065.00	0.000	GROUND	SIG_184
A19	BGA_750_600SM	10795.00	12065.00	0.000	BI	SIG_182
A20	BGA_750_600SM	12065.00	12065.00	0.000	BI	SIG_181
B1	BGA_750_600SM	-12065.00	10795.00	0.000	BI	SIG_2
B2	BGA_750_600SM	-10795.00	10795.00	0.000	BI	SIG_232
B3	BGA_750_600SM	-9525.00	10795.00	0.000	GROUND	SIG_231
B4	BGA_750_600SM	-8255.00	10795.00	0.000	BI	SIG_230
B5	BGA_750_600SM	-6985.00	10795.00	0.000	BI	SIG_220
B6	BGA_750_600SM	-5715.00	10795.00	0.000	POWER	SIG_218
B7	BGA_750_600SM	-4445.00	10795.00	0.000	BI	SIG_214
B8	BGA_750_600SM	-3175.00	10795.00	0.000	BI	SIG_211
B9	BGA_750_600SM	-1905.00	10795.00	0.000	GROUND	SIG_208
B10	BGA_750_600SM	-635.00	10795.00	0.000	BI	SIG_205
B11	BGA_750_600SM	635.00	10795.00	0.000	BI	SIG_202
B12	BGA_750_600SM	1905.00	10795.00	0.000	POWER	SIG_198
B13	BGA_750_600SM	3175.00	10795.00	0.000	BI	SIG_195
B14	BGA_750_600SM	4445.00	10795.00	0.000	BI	SIG_192
B15	BGA_750_600SM	5715.00	10795.00	0.000	GROUND	SIG_188
B16	BGA_750_600SM	6985.00	10795.00	0.000	BI	SIG_185
B17	BGA_750_600SM	8255.00	10795.00	0.000	BI	SIG_179
B18	BGA_750_600SM	9525.00	10795.00	0.000	POWER	SIG_177
B19	BGA_750_600SM	10795.00	10795.00	0.000	BI	SIG_176
B20	BGA_750_600SM	12065.00	10795.00	0.000	POWER	SIG_175
C1	BGA_750_600SM	-12065.00	9525.00	0.000	POWER	SIG_6
C2	BGA_750_600SM	-10795.00	9525.00	0.000	GROUND	SIG_5
C3	BGA_750_600SM	-9525.00	9525.00	0.000	BI	SIG_3
C4	BGA_750_600SM	-8255.00	9525.00	0.000	BI	SIG_1
C5	BGA_750_600SM	-6985.00	9525.00	0.000	POWER	SIG_226
C6	BGA_750_600SM	-5715.00	9525.00	0.000	BI	SIG_222
C7	BGA_750_600SM	-4445.00	9525.00	0.000	BI	SIG_217
C8	BGA_750_600SM	-3175.00	9525.00	0.000	GROUND	SIG_215
C9	BGA_750_600SM	-1905.00	9525.00	0.000	BI	SIG_209
C10	BGA_750_600SM	-635.00	9525.00	0.000	BI	SIG_206
C11	BGA_750_600SM	635.00	9525.00	0.000	POWER	SIG_199
C12	BGA_750_600SM	1905.00	9525.00	0.000	BI	SIG_197
C13	BGA_750_600SM	3175.00	9525.00	0.000	BI	SIG_193
C14	BGA_750_600SM	4445.00	9525.00	0.000	GROUND	SIG_189
C15	BGA_750_600SM	5715.00	9525.00	0.000	BI	SIG_186
C16	BGA_750_600SM	6985.00	9525.00	0.000	BI	SIG_180
C17	BGA_750_600SM	8255.00	9525.00	0.000	POWER	SIG_174
C18	BGA_750_600SM	9525.00	9525.00	0.000	BI	SIG_173
C19	BGA_750_600SM	10795.00	9525.00	0.000	BI	SIG_171
C20	BGA_750_600SM	12065.00	9525.00	0.000	BI	SIG_170
D1	BGA_750_600SM	-12065.00	8255.00	0.000	BI	SIG_10
D2	BGA_750_600SM	-10795.00	8255.00	0.000	BI	SIG_9
D3	BGA_750_600SM	-9525.00	8255.00	0.000	GROUND	SIG_8
D4	BGA_750_600SM	-8255.00	8255.00	0.000	BI	SIG_4
D5	BGA_750_600SM	-6985.00	8255.00	0.000	BI	SIG_229
D6	BGA_750_600SM	-5715.00	8255.00	0.000	POWER	SIG_224
D7	BGA_750_600SM	-4445.00	8255.00	0.000	BI	SIG_221
D8	BGA_750_600SM	-3175.00	8255.00	0.000	BI	P2
D9	BGA_750_600SM	-1905.00	8255.00	0.000	GROUND	SIG_212
D10	BGA_750_600SM	-635.00	8255.00	0.000	BI	P1
D11	BGA_750_600SM	635.00	8255.00	0.000	BI	VSS
D12	BGA_750_600SM	1905.00	8255.00	0.000	POWER	P1
D13	BGA_750_600SM	3175.00	8255.00	0.000	BI	SIG_190
D14	BGA_750_600SM	4445.00	8255.00	0.000	BI	P3
D15	BGA_750_600SM	5715.00	8255.00	0.000	GROUND	SIG_183
D16	BGA_750_600SM	6985.00	8255.00	0.000	BI	SIG_178
D17	BGA_750_600SM	8255.00	8255.00	0.000	BI	SIG_172
D18	BGA_750_600SM	9525.00	8255.00	0.000	BI	SIG_169
D19	BGA_750_600SM	10795.00	8255.00	0.000	GROUND	SIG_167
D20	BGA_750_600SM	12065.00	8255.00	0.000	BI	SIG_166
E1	BGA_750_600SM	-12065.00	6985.00	0.000	BI	SIG_15
E2	BGA_750_600SM	-10795.00	6985.00	0.000	BI	SIG_13
E3	BGA_750_600SM	-9525.00	6985.00	0.000	BI	SIG_12
E4	BGA_750_600SM	-8255.00	6985.00	0.000	BI	SIG_7
E17	BGA_750_600SM	8255.00	6985.00	0.000	POWER	SIG_168
E18	BGA_750_600SM	9525.00	6985.00	0.000	GROUND	SIG_165
E19	BGA_750_600SM	10795.00	6985.00	0.000	BI	SIG_163
E20	BGA_750_600SM	12065.00	6985.00	0.000	GROUND	SIG_162
F1	BGA_750_600SM	-12065.00	5715.00	0.000	GROUND	SIG_18
F2	BGA_750_600SM	-10795.00	5715.00	0.000	POWER	SIG_17
F3	BGA_750_600SM	-9525.00	5715.00	0.000	BI	SIG_14
F4	BGA_750_600SM	-8255.00	5715.00	0.000	POWER	SIG_11
F17	BGA_750_600SM	8255.00	5715.00	0.000	BI	SIG_164
F18	BGA_750_600SM	9525.00	5715.00	0.000	BI	SIG_161
F19	BGA_750_600SM	10795.00	5715.00	0.000	BI	SIG_160
F20	BGA_750_600SM	12065.00	5715.00	0.000	BI	SIG_158
G1	BGA_750_600SM	-12065.00	4445.00	0.000	BI	SIG_21
G2	BGA_750_600SM	-10795.00	4445.00	0.000	BI	SIG_20
G3	BGA_750_600SM	-9525.00	4445.00	0.000	POWER	SIG_16
G4	BGA_750_600SM	-8255.00	4445.00	0.000	BI	P2
G17	BGA_750_600SM	8255.00	4445.00	0.000	BI	P3
G18	BGA_750_600SM	9525.00	4445.00	0.000	BI	SIG_159
G19	BGA_750_600SM	10795.00	4445.00	0.000	POWER	SIG_157
G20	BGA_750_600SM	12065.00	4445.00	0.000	BI	SIG_155
H1	BGA_750_600SM	-12065.00	3175.00	0.000	BI	SIG_23
H2	BGA_750_600SM	-10795.00	3175.00	0.000	BI	SIG_22
H3	BGA_750_600SM	-9525.00	3175.00	0.000	BI	SIG_19
H4	BGA_750_600SM	-8255.00	3175.00	0.000	BI	VSS
H17	BGA_750_600SM	8255.00	3175.00	0.000	GROUND	VSS
H18	BGA_750_600SM	9525.00	3175.00	0.000	POWER	SIG_156
H19	BGA_750_600SM	10795.00	3175.00	0.000	BI	SIG_153
H20	BGA_750_600SM	12065.00	3175.00	0.000	POWER	SIG_152
J1	BGA_750_600SM	-12065.00	1905.00	0.000	POWER	SIG_26
J2	BGA_750_600SM	-10795.00	1905.00	0.000	GROUND	SIG_25
J3	BGA_750_600SM	-9525.00	1905.00	0.000	BI	SIG_24
J4	BGA_750_600SM	-8255.00	1905.00	0.000	GROUND	P1
J9	BGA_750_600SM	-1905.00	1905.00	0.000	POWER	VSS
J10	BGA_750_600SM	-635.00	1905.00	0.000	GROUND	VSS
J11	BGA_750_600SM	635.00	1905.00	0.000	POWER	VSS
J12	BGA_750_600SM	1905.00	1905.00	0.000	GROUND	VSS
J17	BGA_750_600SM	8255.00	1905.00	0.000	BI	P1
J18	BGA_750_600SM	9525.00	1905.00	0.000	BI	SIG_154
J19	BGA_750_600SM	10795.00	1905.00	0.000	BI	SIG_151
J20	BGA_750_600SM	12065.00	1905.00	0.000	BI	SIG_150
K1	BGA_750_600SM	-12065.00	635.00	0.000	BI	SIG_27
K2	BGA_750_600SM	-10795.00	635.00	0.000	BI	SIG_28
K3	BGA_750_600SM	-9525.00	635.00	0.000	GROUND	SIG_29
K4	BGA_750_600SM	-8255.00	635.00	0.000	BI	VSS
